1.0 0.0 0.0,1.0 5.0 0.0,0.9998476951563913 0.0 0.01745240643728351
1.0 5.0 0.0,0.9998476951563913 0.0 0.01745240643728351,0.9998476951563913 5.0 0.01745240643728351
0.9998476951563913 0.0 0.01745240643728351,0.9998476951563913 5.0 0.01745240643728351,0.9993908270190958 0.0 0.03489949670250097
0.9998476951563913 5.0 0.01745240643728351,0.9993908270190958 0.0 0.03489949670250097,0.9993908270190958 5.0 0.03489949670250097
0.9993908270190958 0.0 0.03489949670250097,0.9993908270190958 5.0 0.03489949670250097,0.9986295347545738 0.0 0.052335956242943835
0.9993908270190958 5.0 0.03489949670250097,0.9986295347545738 0.0 0.052335956242943835,0.9986295347545738 5.0 0.052335956242943835
0.9986295347545738 0.0 0.052335956242943835,0.9986295347545738 5.0 0.052335956242943835,0.9975640502598242 0.0 0.0697564737441253
0.9986295347545738 5.0 0.052335956242943835,0.9975640502598242 0.0 0.0697564737441253,0.9975640502598242 5.0 0.0697564737441253
0.9975640502598242 0.0 0.0697564737441253,0.9975640502598242 5.0 0.0697564737441253,0.9961946980917455 0.0 0.08715574274765817
0.9975640502598242 5.0 0.0697564737441253,0.9961946980917455 0.0 0.08715574274765817,0.9961946980917455 5.0 0.08715574274765817
